"序号","分类","英文原文(Term)","中文名称(Zh Name)","第一层：人话通俗听感解释(Tier 1)","第二层：Suno实战怎么用(Tier 2)","第三层：提示词与效果示例(Tier 3)","一键复制标签代码(Prompt Tag)","当前校对状态","专家校对与修改意见(批注填写区)"
"28","三、演唱风格与人声情绪","[Belting]","怒音 / 真声高亢爆发","像实力派歌手在大型体育场高潮时的全力嘶吼大爆发！用充满力量感的真声直冲高音，情绪浓烈到极点（类似 Adele、华晨宇或摇滚主唱）。","适合写在 [Chorus] 最终大高潮或高音顶点歌词前，指示 Suno 释放最饱满的人声能量。","[Chorus]
[Belting: Powerful emotional high notes]
我绝不向风暴低头！！！","[Belting: Powerful high notes]","draft",""
"29","三、演唱风格与人声情绪","[Falsetto]","假音 / 空灵气音高音","不像真声那样用力吼，而是像浮在云端一样飘逸、空灵、梦幻的高音（类似 Radiohead 或很多独立音乐里的轻盈假声，像羽毛在空中漂浮）。","写在唯美、忧伤或飘渺的乐句前，常与 Dream Pop、R&B 搭配。","[Pre-Chorus]
[Falsetto: Airy, soaring high voice]
Ooh... Fly away with me...","[Falsetto: Airy and ethereal]","draft",""
"30","三、演唱风格与人声情绪","[Spoken Word]","念白 / 电影感旁白叙述","不唱任何音调，纯粹像电影演员在背景音乐中念独白、念台词一样，极具故事沉浸感和文艺气息。","写在歌曲 Intro、Bridge 或结尾。歌词尽量口语化，像讲故事一样写几句独白。","[Intro: Rain sounds]
[Spoken Word: Low nostalgic male voice]
那年夏天的列车开走以后，我再也没见过那片海。","[Spoken Word: Cinematic monologue]","draft",""
"31","三、演唱风格与人声情绪","[Harmonies]","多声部和声 / 伴唱","不再是一个人单薄地唱，而是在主唱背后有多个不同音高的声音同时烘托，瞬间让歌声像教堂唱诗班或多重唱一样立体宽广、气势恢宏。","写在副歌大合唱或结尾升华处，能极大增强整首歌的华丽感和层次感。","[Chorus]
[Vocal Harmonies: Lush backing choir, layered voices]
拥抱所有的光！","[Lush Vocal Harmonies]","draft",""
"32","三、演唱风格与人声情绪","[Vibrato]","颤音 / 尾音波浪震颤","拉长音结尾时声音有规律地微微波动（像歌剧名伶或深情歌王在长音结束时的波浪感），让歌声极其饱满、深情且富有大师风范。","写在慢歌长音或情绪升华句末尾，指示 AI 展现更高超的人声控制力。","[Chorus]
[Vibrato: Deep resonant vibrato on long held notes]
永不褪色——","[Expressive Vibrato]","draft",""
"33","三、演唱风格与人声情绪","[Ad-lib]","即兴垫音 / 自由哼唱装饰音","在主歌词唱完的空隙里，歌手随性发挥的哼哼唱唱（比如“Yeah yeah~”、“Oh no~”、“Baby~”），让歌曲听起来灵动活泼不呆板。","多用于 R&B、Soul、流行流行副歌与尾声。可以用圆括号写在歌词行尾。","说好再见 (Yeah, never let you go)
背叛了承诺 (Oh no...)","[Ad-libs: Soulful runs and riffs]","draft",""
"34","三、演唱风格与人声情绪","[Call and Response]","呼应对唱 / 领唱与伴唱接力","主唱先喊一句（Call），后面的伴唱或合唱团立马接上一句（Response），像山歌对唱或福音教会有来有回，现场气氛极度活跃互动感极强。","写在舞曲、放克、福音音乐（Gospel）或活力流行歌中。","[Call: Lead Singer] 你们准备好了吗？
[Response: Crowd] 随时可以出发！","[Call and Response vocals]","draft",""
"35","三、演唱风格与人声情绪","[Chant]","万人呐喊口号 / 齐声呼号","不是标准的优美唱歌，而是像足球场几万球迷一起整齐划一地齐声怒吼口号（如“Hey! Ho! Let's Go!”），血脉贲张，气势冲天！","适合热血摇滚、战歌、运动励志主题、Stadium Pop。","[Chant: Stadium crowd shouting in unison, stomping feet]
战！战！战！
直到世界终结！","[Chant: Stadium crowd anthem]","draft",""
"36","四、主流曲风与流派氛围","Lo-fi","低保真慢调 (慵懒治愈学习风)","听起来像老旧录音带或黑胶唱片，带有轻微的沙沙杂音、慵懒慢速的爵士钢琴和柔和的鼓点。就是油管上非常流行的“陪你深夜自习/咖啡馆发呆”的舒缓音乐。","在 Style of Music 输入框中填入。常与 chillhop、jazz hop、rain sounds、dusty piano 搭配。","lo-fi chillhop, dusty vinyl crackle, mellow piano, warm bass, relaxing bpm 75","lo-fi chillhop, mellow piano","draft",""
"37","四、主流曲风与流派氛围","City Pop","城市流行 (80年代日落都市摩登风)","让人联想到 80 年代东京霓虹闪烁的夜晚，开着敞篷跑车吹着微凉海风的浪漫感。充满轻快的放克吉他扫弦、跳跃的贝斯和浪漫怀旧的萨克斯风。","适合做复古、阳光、浪漫都会感的情歌。常搭配 1980s japanese, funky bass, brass, nostalgic。","1980s japanese city pop, funky bass groove, bright brass, sparkling synth, breezy summer night","1980s japanese city pop, funky bass","draft",""
"38","四、主流曲风与流派氛围","Synthwave","合成器波 / 赛博朋克复古电音","强烈的科幻未来感与 80 年代复古电影质感结合，仿佛开着车疾驰在粉紫色落日与霓虹网格的数码高速公路上。鼓点坚实饱满，合成器音效如同电流穿梭。","适合动感、热血、科幻主题。常与 retrowave, 1980s synth, arpeggiated bass, driving drums 混搭。","synthwave, retrowave, driving 80s drums, neon atmosphere, analog synths, cyberpunk","synthwave, retrowave, analog synths","draft",""
"39","四、主流曲风与流派氛围","Melodic Techno","旋律铁克诺 (深邃空灵迷幻电音)","不像一般夜店蹦迪那么吵闹，而是充满深邃的空间感和唯美感伤的旋律线条。低音像心跳一样稳重推移，听了让人像漂浮在宇宙星空中。","适合高级感、深邃沉浸的 BGM。搭配 atmospheric, ethereal, driving bassline, hypnotic rhythm。","melodic techno, afterlife style, dark atmospheric synths, hypnotic bass, cinematic buildup","melodic techno, atmospheric","draft",""
"40","四、主流曲风与流派氛围","Shoegaze","自赏摇滚 / 梦幻音墙","因为乐手演出时一直低头踩吉他效果器像在“看鞋”而得名。特点是人声非常空灵朦胧，被淹没在像巨大海浪一样铺天盖地的吉他回音与梦幻噪音之中。","适合青春迷惘、梦幻悲伤、电影情绪流。搭配 ethereal vocals, wall of sound, distorted reverb guitars。","shoegaze, dream pop, ethereal female vocals, loud distorted guitars, heavy reverb, wall of sound","shoegaze, dream pop, wall of sound","draft",""
"41","四、主流曲风与流派氛围","Math Rock","数学摇滚 / 奇数拍精妙点弦","节奏就像做精密的数学题！完全不安常理出牌，一会是 7 拍一会是 5 拍，清脆的吉他点弦声像下雨敲打玻璃一样眼花缭乱又极其好听悦耳。","在 Style 输入框写 math rock, intricate guitar tapping, complex time signatures, energetic drums。","math rock, clean midwest emo tapping guitar, odd meters, bouncy dynamic drums","math rock, clean tapping guitar","draft",""
"42","四、主流曲风与流派氛围","Trap","陷阱说唱 / 轰鸣808与滚奏擦片","当代嘻哈说唱最标志性的声音！特点是轰隆隆震得人胸口发麻的 808 超重低音，加上像机关枪扫射一样飞速连击的金属擦片节奏（Hi-hat）。","做说唱或酷炫潮流街头感必选。搭配 heavy 808 sub bass, fast rolling hi-hats, dark trap melodies。","dark trap beat, thunderous 808 bass, rapid hi-hat rolls, confident male rap vocals","dark trap, 808 sub bass","draft",""
"43","四、主流曲风与流派氛围","R&B Ballad","节奏布鲁斯慢情歌","如同丝绸巧克力般顺滑柔软的情歌。深情的电钢琴配合柔缓的律动，歌手带着性感的气声与转音，深情倾诉内心的爱与痛。","适合抒情浪漫、深夜走心歌。搭配 smooth rhodes piano, soulful vocals, warm sub bass, emotional vibrato。","contemporary r&b ballad, smooth electric piano, intimate emotional vocals, slow groove 72 bpm","smooth contemporary r&b ballad","draft",""
"44","四、主流曲风与流派氛围","Indie Folk","独立民谣 / 森林木吉他清泉","朴素而清澈，像坐在北欧森林小木屋篝火旁听一把木吉他弹唱，没有任何花哨吵闹的电子乐，只有纯净温暖的心灵对话。","适合治愈、旅行、乡愁、自然。搭配 acoustic guitar fingerpicking, gentle foot stomp, warm cello, airy vocals。","indie acoustic folk, intimate fingerpicked guitar, rustic warm cello, campfire nostalgia","indie acoustic folk, fingerpicking","draft",""
"45","四、主流曲风与流派氛围","Future Bass","未来低音 (梦幻弹簧摇摆电音)","高潮爆发时像踩在巨大的梦幻果冻或弹簧床上！厚重的合成器像波浪一样剧烈颤抖摇晃，充满阳光、年轻与元气活力。","适合动漫、青春、二次元活力电音。搭配 supersaw chords, pitch wobble, uplifting melody, heavy drop。","uplifting future bass, lush supersaw chords, kawaii vocal chops, bouncy trap beat, vibrant drop","uplifting future bass, lush supersaw","draft",""
"46","四、主流曲风与流派氛围","Cinematic Orchestral","史诗电影管弦乐","仿佛置身于好莱坞大片巅峰时刻！几百人的交响乐团齐奏，铜管轰鸣，定音鼓与战鼓如雷贯耳，气吞山河、震撼宇宙。","适合游戏大招、预告片、热血决战。搭配 massive brass, epic taiko drums, soaring string section, choral chant。","epic cinematic orchestral, hans zimmer style, soaring brass, thunderous war drums, heroic climax","epic cinematic orchestral, soaring brass","draft",""
"47","五、编曲与声学制作参数","BPM (Beats Per Minute)","每分钟节拍数 (歌曲速度心率)","歌曲的“心率速度”。数值越小歌越慢越抒情，数值越大歌越快越嗨。
• 60-80：慢歌、催眠抒情歌、悲伤民谣
• 90-110：中速、流行歌、R&B、律动走步
• 120-130：标准舞曲、电音、House（最容易跟着点头摇晃的黄金速度）
• 140+：热血摇滚、快说唱、激烈快节奏","可以在 Style 输入框直接注明（如 120 bpm），或在高级设置里的 Tempo 控制项设置。","想要一首轻快的慢摇：acoustic pop, warm guitar, 95 bpm","120 bpm","draft",""
"48","五、编曲与声学制作参数","Key","调式与调性 (歌曲明暗色彩)","歌曲的情绪色调底色：
• 大调（Major）：听起来明亮、欢快、充满希望、正能量；
• 小调（Minor）：听起来忧郁、悲伤、深沉、神秘或阴暗。","在 Style 输入框写具体调号，例如 C Major（C大调）、A Minor（A小调）、E-flat Major（降E大调）。","悲伤情歌：melancholic piano ballad, A minor
阳光开朗：upbeat acoustic pop, C major","in C Major / in A Minor","draft",""
"49","五、编曲与声学制作参数","Reverb","空间混响 (声音的旷野与浴室感)","就像在空旷的大教堂或大浴室里唱歌时听到的回荡余音。混响越大，声音听起来越宏大、空灵、梦幻；混响越小（干声），声音越贴近耳朵、越清晰真实。","在 Style of Music 中写 heavy reverb（大回音空灵感）或 dry vocals（干声贴耳真实感）。","想要大教堂空灵声效：ethereal ambient pop, massive hall reverb, expansive soundstage","heavy reverb / dry vocals","draft",""
"50","五、编曲与声学制作参数","Acoustic vs Electronic","原声乐器 vs 电子合成器","• 原声（Acoustic）：真实世界由人手弹奏出来的真实木头乐器（真实木吉他、真钢琴、大提琴）；
• 电子（Electronic）：由电脑芯片合成出的数码波形音效（合成器、电子合成鼓）。","在 Style 框明确指出倾向，避免 AI 给你乱加电子音。原声填 pure acoustic organic instruments；电音填 electronic synthesizer-driven。","pure acoustic live instruments, unpolished organic warm recording","acoustic live instruments","draft",""
